Date,Median Sale Price,Average Sale Price,County
Jan 2001,393638.73,646535.35,Fairfield
Feb 2001,374604.75,652568.27,Fairfield
Mar 2001,400118.38,619265.04,Fairfield
Apr 2001,396878.55,617362.17,Fairfield
May 2001,427616.39,613559.53,Fairfield
Jun 2001,453575.49,689000.49,Fairfield
Jul 2001,461675.05,698997.41,Fairfield
Aug 2001,477064.22,730031.12,Fairfield
Sep 2001,417937.41,612745.04,Fairfield
Oct 2001,396878.55,572847.76,Fairfield
Nov 2001,417937.41,572579.86,Fairfield
Dec 2001,413077.67,633079.30,Fairfield
Jan 2002,430506.89,633222.73,Fairfield
Feb 2002,397023.02,604258.22,Fairfield
Mar 2002,441668.18,684075.45,Fairfield
Apr 2002,446451.59,638218.00,Fairfield
May 2002,478340.99,740853.21,Fairfield
Jun 2002,559499.52,804360.38,Fairfield
Jul 2002,534147.44,828354.97,Fairfield
Aug 2002,540525.32,753016.07,Fairfield
Sep 2002,462396.29,696420.06,Fairfield
Oct 2002,486313.34,667295.11,Fairfield
Nov 2002,462396.29,678106.03,Fairfield
Dec 2002,478340.99,651593.34,Fairfield
Jan 2003,441877.89,680759.56,Fairfield
Feb 2003,446943.51,616872.15,Fairfield
Mar 2003,452009.13,615925.51,Fairfield
Apr 2003,482324.92,660822.87,Fairfield
May 2003,506561.96,721155.28,Fairfield
Jun 2003,544748.93,753881.74,Fairfield
Jul 2003,553321.52,800517.24,Fairfield
Aug 2003,556438.83,839578.22,Fairfield
Sep 2003,522148.48,743777.11,Fairfield
Oct 2003,498768.70,727960.59,Fairfield
Nov 2003,490975.43,738507.85,Fairfield
Dec 2003,529941.74,751867.16,Fairfield
Jan 2004,516172.46,796876.58,Fairfield
Feb 2004,498713.69,781610.05,Fairfield
Mar 2004,508581.69,750256.95,Fairfield
Apr 2004,557162.63,879050.62,Fairfield
May 2004,563994.33,882326.76,Fairfield
Jun 2004,599670.95,909539.20,Fairfield
Jul 2004,651288.20,926312.20,Fairfield
Aug 2004,645215.58,960573.16,Fairfield
Sep 2004,606123.11,890448.43,Fairfield
Oct 2004,558680.79,836144.70,Fairfield
Nov 2004,569307.87,840208.02,Fairfield
Dec 2004,570826.02,833972.52,Fairfield
Jan 2005,558113.49,866319.16,Fairfield
Feb 2005,543426.29,905319.18,Fairfield
Mar 2005,587487.88,869428.62,Fairfield
Apr 2005,603643.80,877453.18,Fairfield
May 2005,631549.47,918725.08,Fairfield
Jun 2005,653580.27,990540.03,Fairfield
Jul 2005,690298.26,1002138.07,Fairfield
Aug 2005,675611.06,1062096.06,Fairfield
Sep 2005,624205.87,942923.72,Fairfield
Oct 2005,602175.08,900333.41,Fairfield
Nov 2005,598503.28,885970.57,Fairfield
Dec 2005,627877.67,944643.54,Fairfield
Jan 2006,583378.11,907740.27,Fairfield
Feb 2006,579820.93,893715.02,Fairfield
Mar 2006,583378.11,905617.74,Fairfield
Apr 2006,569149.38,898961.56,Fairfield
May 2006,605432.65,943326.12,Fairfield
Jun 2006,661636.15,1014677.43,Fairfield
Jul 2006,654521.78,985408.95,Fairfield
Aug 2006,633178.68,948494.82,Fairfield
Sep 2006,569149.38,851809.69,Fairfield
Oct 2006,583378.11,822849.24,Fairfield
Nov 2006,580532.37,828167.04,Fairfield
Dec 2006,562035.01,897774.53,Fairfield
Jan 2007,567099.24,973922.28,Fairfield
Feb 2007,575398.26,886031.48,Fairfield
Mar 2007,574015.09,961757.90,Fairfield
Apr 2007,610669.06,978828.05,Fairfield
May 2007,627612.88,1030888.87,Fairfield
Jun 2007,684668.60,1081431.18,Fairfield
Jul 2007,691584.44,1105793.70,Fairfield
Aug 2007,657005.22,1013358.64,Fairfield
Sep 2007,553267.55,913088.37,Fairfield
Oct 2007,567099.24,852946.48,Fairfield
Nov 2007,591996.28,1001953.16,Fairfield
Dec 2007,553267.55,871493.74,Fairfield
Jan 2008,486304.36,736161.96,Fairfield
Feb 2008,526274.58,862800.72,Fairfield
Mar 2008,506289.47,829519.86,Fairfield
Apr 2008,519612.88,873191.30,Fairfield
May 2008,554253.73,875796.01,Fairfield
Jun 2008,576237.36,930285.57,Fairfield
Jul 2008,672832.06,958049.72,Fairfield
Aug 2008,583565.23,961542.32,Fairfield
Sep 2008,512951.17,756263.98,Fairfield
Oct 2008,512951.17,720543.18,Fairfield
Nov 2008,459657.54,675053.73,Fairfield
Dec 2008,430679.13,627849.51,Fairfield
Jan 2009,413868.51,617320.28,Fairfield
Feb 2009,400986.80,598301.05,Fairfield
Mar 2009,422372.77,687052.79,Fairfield
Apr 2009,447768.60,646309.20,Fairfield
May 2009,454451.71,670175.98,Fairfield
Jun 2009,521282.85,762868.65,Fairfield
Jul 2009,553361.79,853901.33,Fairfield
Aug 2009,534649.07,817914.35,Fairfield
Sep 2009,461134.82,752773.49,Fairfield
Oct 2009,467817.94,765865.86,Fairfield
Nov 2009,447768.60,671193.87,Fairfield
Dec 2009,481184.17,734142.65,Fairfield
Jan 2010,493162.56,774190.14,Fairfield
Feb 2010,394530.05,637585.61,Fairfield
Mar 2010,460285.05,702150.59,Fairfield
Apr 2010,480011.56,794322.58,Fairfield
May 2010,482641.76,762596.33,Fairfield
Jun 2010,536560.86,811457.63,Fairfield
Jul 2010,624672.57,1001329.21,Fairfield
Aug 2010,558917.56,871444.50,Fairfield
Sep 2010,486587.06,806250.18,Fairfield
Oct 2010,483956.86,754519.21,Fairfield
Nov 2010,486587.06,728777.29,Fairfield
Dec 2010,466860.55,821922.50,Fairfield
Jan 2011,468587.29,796306.21,Fairfield
Feb 2011,414396.93,725002.72,Fairfield
Mar 2011,443723.48,712753.68,Fairfield
Apr 2011,478150.30,821677.76,Fairfield
May 2011,504926.72,908453.77,Fairfield
Jun 2011,567405.02,920584.14,Fairfield
Jul 2011,535082.06,797564.24,Fairfield
Aug 2011,531703.13,814403.12,Fairfield
Sep 2011,484464.43,763204.11,Fairfield
Oct 2011,383795.31,597748.56,Fairfield
Nov 2011,376144.90,653940.78,Fairfield
Dec 2011,401646.25,651872.19,Fairfield
Jan 2012,374750.94,628277.03,Fairfield
Feb 2012,370066.55,591216.80,Fairfield
Mar 2012,412226.03,649021.94,Fairfield
Apr 2012,424717.73,625875.57,Fairfield
May 2012,455946.97,703048.67,Fairfield
Jun 2012,562001.49,830398.35,Fairfield
Jul 2012,530897.16,815535.44,Fairfield
Aug 2012,499667.92,797630.54,Fairfield
Sep 2012,455946.97,755897.75,Fairfield
Oct 2012,415973.54,635706.70,Fairfield
Nov 2012,443455.28,694466.96,Fairfield
Dec 2012,462192.82,889637.84,Fairfield
Jan 2013,369336.57,633861.01,Fairfield
Feb 2013,390881.20,709663.55,Fairfield
Mar 2013,400114.62,649497.82,Fairfield
Apr 2013,430892.66,676173.23,Fairfield
May 2013,512146.71,806876.54,Fairfield
Jun 2013,554004.85,867163.49,Fairfield
Jul 2013,520764.56,786180.78,Fairfield
Aug 2013,501017.98,759816.78,Fairfield
Sep 2013,437048.27,668987.86,Fairfield
Oct 2013,395190.13,569903.15,Fairfield
Nov 2013,418581.44,675809.53,Fairfield
Dec 2013,429661.54,736754.41,Fairfield
Jan 2014,391633.46,629996.15,Fairfield
Feb 2014,363464.93,620459.37,Fairfield
Mar 2014,363464.93,595636.94,Fairfield
Apr 2014,426569.71,667152.96,Fairfield
May 2014,450696.51,729856.65,Fairfield
Jun 2014,509911.00,765573.79,Fairfield
Jul 2014,502793.15,777957.99,Fairfield
Aug 2014,511274.00,815134.81,Fairfield
Sep 2014,423436.64,617804.07,Fairfield
Oct 2014,405869.17,652924.21,Fairfield
Nov 2014,424042.41,661414.86,Fairfield
Dec 2014,428585.73,687448.25,Fairfield
Jan 2015,403196.93,628817.46,Fairfield
Feb 2015,407193.23,621820.47,Fairfield
Mar 2015,393277.26,610164.03,Fairfield
Apr 2015,423529.36,682893.27,Fairfield
May 2015,484033.56,705415.69,Fairfield
Jun 2015,471932.72,775263.29,Fairfield
Jul 2015,496739.44,783449.39,Fairfield
Aug 2015,447731.04,709604.70,Fairfield
Sep 2015,421109.19,649201.14,Fairfield
Oct 2015,453781.46,682486.58,Fairfield
Nov 2015,387787.11,598474.17,Fairfield
Dec 2015,391341.13,595891.45,Fairfield
Jan 2016,388355.40,625406.57,Fairfield
Feb 2016,386801.98,606171.41,Fairfield
Mar 2016,379094.62,592817.29,Fairfield
Apr 2016,406279.50,619528.45,Fairfield
May 2016,423830.17,628468.09,Fairfield
Jun 2016,463039.13,727062.26,Fairfield
Jul 2016,448102.39,649397.19,Fairfield
Aug 2016,442008.19,620810.30,Fairfield
Sep 2016,430178.29,621861.04,Fairfield
Oct 2016,388355.40,564580.51,Fairfield
Nov 2016,418228.89,613043.91,Fairfield
Dec 2016,400006.06,580707.00,Fairfield
Jan 2017,386100.58,596125.32,Fairfield
Feb 2017,374400.56,587602.77,Fairfield
Mar 2017,380250.57,579329.39,Fairfield
Apr 2017,447525.67,648556.12,Fairfield
May 2017,442260.66,620110.22,Fairfield
Jun 2017,471510.71,688016.85,Fairfield
Jul 2017,438750.66,669160.40,Fairfield
Aug 2017,444600.67,675657.50,Fairfield
Sep 2017,434655.65,624907.26,Fairfield
Oct 2017,397742.10,553744.31,Fairfield
Nov 2017,415350.62,616347.83,Fairfield
